"ai_tool","user_type","experience_level","industry","primary_use_case","satisfaction_score","failure_reason"
"Copy.ai","Designer","Expert","Energy","Learning",2.04,"Connection issues"
"Copy.ai","ML Engineer","Intermediate","Legal","Automation",2.46,"Slow response"
"DeepSeek","DevOps Engineer","Intermediate","Manufacturing","Content Writing",1.93,"Tool limitation"
"Canva AI","Non-Tech User","Expert","Transportation","Automation",1.98,"Tool limitation"
"Cohere","Freelancer","Advanced","Tech","Learning",2.27,"Connection issues"
"Jasper","Content Creator","Expert","Legal","Translation",1.92,"Wrong output"
"Runway ML","Business Owner","Intermediate","Transportation","Automation",1.06,"Connection issues"
"Tabnine","Researcher","Advanced","Education","Data Analysis",2.05,"Tool limitation"
"GrammarlyGO","Data Analyst","Advanced","Finance","Marketing",2.04,"Slow response"
"Gemini","Data Analyst","Expert","Transportation","Customer Support",2.34,"Slow response"
"Perplexity AI","Content Creator","Expert","Manufacturing","Translation",2.18,"Slow response"
"Cohere","Senior Developer","Intermediate","Energy","Data Analysis",2.56,"Wrong output"
"Boston Dynamics AI","DevOps Engineer","Beginner","Government","Learning",2.39,"Slow response"
"Jasper","Business Owner","Intermediate","Energy","Automation",2.53,"Low accuracy"
"DeepSeek","Doctor","Expert","Healthcare","Video Creation",1.34,"Slow response"
"Jasper","Non-Tech User","Beginner","Energy","Design",2.23,"Tool limitation"
"PyTorch","Marketer","Expert","Agriculture","Content Writing",1.18,"Low accuracy"
"HeyGen","Business Owner","Beginner","Agriculture","Coding",2.16,"Tool limitation"
"DataRobot","Teacher","Beginner","Energy","Translation",1.35,"Slow response"
"Boston Dynamics AI","Business Owner","Beginner","Government","Design",2.37,"Connection issues"
"GPT-5","ML Engineer","Expert","Manufacturing","Video Creation",1.59,"Slow response"
"GitHub Copilot","Teacher","Expert","Finance","Research",2.57,"Low accuracy"
"PyTorch","DevOps Engineer","Expert","Healthcare","Content Writing",1.55,"Tool limitation"
"Figma AI","Lawyer","Intermediate","Finance","Customer Support",2.59,"Low accuracy"
"GitHub Copilot","DevOps Engineer","Intermediate","Legal","Learning",1.96,"Wrong output"
"Power BI Copilot","Product Manager","Expert","Government","Automation",2.12,"Low accuracy"
"Mistral","Non-Tech User","Expert","Agriculture","Learning",1.79,"Wrong output"
"Tabnine","ML Engineer","Intermediate","Agriculture","Coding",1.12,"Wrong output"
"Power BI Copilot","Freelancer","Beginner","Manufacturing","Customer Support",1.48,"Tool limitation"
"Synthesia","Government Worker","Intermediate","Media","Customer Support",1.6,"Low accuracy"
"Cohere","Lawyer","Intermediate","Energy","Customer Support",2.01,"Wrong output"
"HeyGen","Designer","Intermediate","Government","Coding",1.17,"Slow response"
"Grok","Designer","Intermediate","Government","Content Writing",1.35,"Slow response"
"Hugging Face","Doctor","Advanced","Healthcare","Translation",1.66,"Wrong output"
"ElevenLabs","Startup Founder","Expert","Healthcare","Data Analysis",2.45,"Slow response"
"Cohere","Researcher","Expert","Tech","Design",1.96,"Tool limitation"
"GPT-4","Student","Advanced","Education","Customer Support",1.26,"Low accuracy"
"Khanmigo","Government Worker","Expert","Government","Coding",2.25,"Connection issues"
"Synthesia","Business Owner","Intermediate","Media","Coding",1.96,"Low accuracy"
"LLaMA","Freelancer","Intermediate","Tech","Learning",2.18,"Tool limitation"
"Stable Diffusion","Startup Founder","Expert","Education","Research",2.38,"Slow response"
"Perplexity AI","Non-Tech User","Intermediate","Healthcare","Data Analysis",1.7,"Low accuracy"
"Kensho","Product Manager","Intermediate","Retail","Translation",2.44,"Low accuracy"
"AutoGPT","Senior Developer","Expert","Retail","Data Analysis",1.81,"Wrong output"
"Power BI Copilot","ML Engineer","Advanced","Education","Marketing",1.8,"Slow response"
"LLaMA","ML Engineer","Expert","Transportation","Content Writing",1.02,"Connection issues"
"Khanmigo","Cybersecurity Analyst","Advanced","Education","Coding",2.1,"Low accuracy"
"GPT-4","Freelancer","Expert","Government","Translation",2.54,"Slow response"
"AlphaFold","Government Worker","Expert","Manufacturing","Research",1.85,"Connection issues"
"DeepSeek","Researcher","Expert","Government","Translation",2.36,"Wrong output"
"Khanmigo","Product Manager","Intermediate","Healthcare","Learning",1.57,"Wrong output"
"Microsoft Copilot","Junior Dev","Intermediate","Government","Marketing",1.99,"Tool limitation"
"Hugging Face","DevOps Engineer","Expert","Education","Video Creation",1.55,"Tool limitation"
"Mistral","Content Creator","Beginner","Energy","Translation",1.81,"Tool limitation"
"Copy.ai","Doctor","Beginner","Transportation","Automation",1.69,"Wrong output"
"Mistral","Content Creator","Advanced","Education","Coding",2.32,"Slow response"
"Kensho","Student","Expert","Government","Customer Support",2.47,"Low accuracy"
"Power BI Copilot","Researcher","Beginner","Finance","Translation",1.69,"Tool limitation"
"GPT-5","Non-Tech User","Beginner","Healthcare","Research",1.64,"Slow response"
"Grok","Doctor","Intermediate","Legal","Research",1.41,"Connection issues"
"Cursor AI","Marketer","Intermediate","Government","Customer Support",1.51,"Wrong output"
"LangChain","Junior Dev","Intermediate","Government","Translation",1.08,"Slow response"
"LLaMA","Marketer","Expert","Education","Data Analysis",1.48,"Wrong output"
"Grok","Government Worker","Intermediate","Energy","Data Analysis",1.51,"Tool limitation"
"Jasper","Data Analyst","Advanced","Healthcare","Design",2.33,"Slow response"
"GPT-5","Freelancer","Expert","Finance","Design",1.13,"Low accuracy"
"PyTorch","Product Manager","Beginner","Energy","Content Writing",1.07,"Slow response"
"Notion AI","Junior Dev","Intermediate","Legal","Design",2.45,"Wrong output"
"PyTorch","Teacher","Intermediate","Tech","Content Writing",1.89,"Wrong output"
"Figma AI","ML Engineer","Beginner","Media","Content Writing",1.57,"Tool limitation"
"BloombergGPT","ML Engineer","Intermediate","Manufacturing","Design",1.52,"Slow response"
"Jasper","Government Worker","Expert","Tech","Learning",1.4,"Connection issues"
"Notion AI","Freelancer","Intermediate","Legal","Design",1.64,"Connection issues"
"TensorFlow","Senior Developer","Intermediate","Media","Automation",2.14,"Wrong output"
"TensorFlow","Government Worker","Beginner","Tech","Video Creation",2.32,"Slow response"
"Notion AI","Startup Founder","Advanced","Media","Automation",1.13,"Slow response"
"Canva AI","Junior Dev","Intermediate","Agriculture","Design",1.27,"Connection issues"
"Hugging Face","Product Manager","Intermediate","Tech","Video Creation",2.58,"Low accuracy"
"Midjourney","Lawyer","Beginner","Retail","Customer Support",2.35,"Wrong output"
"Runway ML","Content Creator","Advanced","Transportation","Coding",1.4,"Connection issues"
"Boston Dynamics AI","Business Owner","Expert","Manufacturing","Learning",2.31,"Low accuracy"
"GrammarlyGO","Government Worker","Beginner","Finance","Customer Support",1.73,"Slow response"
"GrammarlyGO","DevOps Engineer","Advanced","Media","Video Creation",1.98,"Slow response"
"Falcon","Business Owner","Advanced","Legal","Content Writing",1.04,"Connection issues"
"Grok","Senior Developer","Beginner","Education","Coding",2.21,"Wrong output"
"LLaMA","Data Analyst","Beginner","Finance","Marketing",2.13,"Wrong output"
"DeepSeek","Researcher","Intermediate","Media","Customer Support",1.7,"Tool limitation"
"DataRobot","Researcher","Beginner","Government","Automation",2.5,"Low accuracy"
"Figma AI","Junior Dev","Expert","Government","Customer Support",1.71,"Connection issues"
"DataRobot","Freelancer","Advanced","Manufacturing","Learning",1.21,"Connection issues"
"Devin","Doctor","Beginner","Finance","Coding",1.3,"Wrong output"
"Deepgram","Non-Tech User","Beginner","Transportation","Translation",2.34,"Slow response"
"Runway ML","Lawyer","Beginner","Manufacturing","Customer Support",2.09,"Low accuracy"
"Gemini","ML Engineer","Advanced","Tech","Content Writing",2.4,"Low accuracy"
"AutoGPT","Business Owner","Intermediate","Transportation","Marketing",1.25,"Connection issues"
"AlphaFold","Cybersecurity Analyst","Advanced","Energy","Data Analysis",1.86,"Slow response"
"LangChain","Senior Developer","Beginner","Media","Automation",1.07,"Wrong output"
"LangChain","Data Analyst","Expert","Media","Translation",1.77,"Slow response"
"Canva AI","Marketer","Expert","Energy","Learning",1.05,"Tool limitation"
"Tableau AI","Researcher","Beginner","Manufacturing","Automation",2.53,"Slow response"
"Codeium","Teacher","Beginner","Agriculture","Design",1.37,"Slow response"
"LangChain","Junior Dev","Expert","Energy","Research",2.32,"Low accuracy"
"ElevenLabs","Senior Developer","Intermediate","Legal","Translation",1.58,"Slow response"
"Kensho","Junior Dev","Advanced","Transportation","Customer Support",1.43,"Connection issues"
"AutoGPT","Data Analyst","Beginner","Tech","Video Creation",2.07,"Tool limitation"
"GPT-4","Business Owner","Expert","Energy","Data Analysis",1.71,"Slow response"
"Kensho","Junior Dev","Intermediate","Agriculture","Marketing",2.04,"Slow response"
"Deepgram","Business Owner","Expert","Legal","Customer Support",2.23,"Tool limitation"
"Tabnine","Content Creator","Beginner","Transportation","Data Analysis",1.75,"Slow response"
"GitHub Copilot","Teacher","Expert","Media","Learning",2.37,"Tool limitation"
"Tableau AI","Non-Tech User","Expert","Finance","Translation",1.93,"Wrong output"
"Notion AI","Cybersecurity Analyst","Beginner","Government","Marketing",2.46,"Tool limitation"
"Tableau AI","Data Analyst","Expert","Retail","Research",1.05,"Slow response"
"Khanmigo","Business Owner","Intermediate","Tech","Video Creation",1,"Slow response"
"Copy.ai","Teacher","Expert","Healthcare","Data Analysis",1.88,"Low accuracy"
"Canva AI","Product Manager","Expert","Education","Translation",2.47,"Low accuracy"
"Synthesia","Lawyer","Beginner","Tech","Research",2.15,"Low accuracy"
"GrammarlyGO","Cybersecurity Analyst","Advanced","Transportation","Coding",1.59,"Tool limitation"
"Boston Dynamics AI","Government Worker","Beginner","Legal","Translation",2.03,"Slow response"
"Cohere","Designer","Intermediate","Retail","Design",1.33,"Connection issues"
"Hugging Face","Cybersecurity Analyst","Beginner","Media","Content Writing",1.44,"Tool limitation"
"Hugging Face","Content Creator","Beginner","Energy","Video Creation",1.76,"Slow response"
"Tableau AI","Teacher","Beginner","Transportation","Content Writing",1.15,"Connection issues"
"Cursor AI","Business Owner","Advanced","Education","Video Creation",2,"Slow response"
"Qwen","Business Owner","Intermediate","Healthcare","Coding",1.68,"Low accuracy"
"Figma AI","DevOps Engineer","Expert","Retail","Learning",2.55,"Low accuracy"
"Perplexity AI","Business Owner","Advanced","Education","Research",2.21,"Wrong output"
"Codeium","Teacher","Expert","Government","Research",2.11,"Tool limitation"
"Tabnine","Senior Developer","Intermediate","Tech","Customer Support",1.87,"Connection issues"
"AutoGPT","DevOps Engineer","Expert","Tech","Video Creation",1.83,"Connection issues"
"PyTorch","Content Creator","Beginner","Energy","Translation",2.44,"Connection issues"
"Stable Diffusion","DevOps Engineer","Beginner","Energy","Learning",1.95,"Low accuracy"
"TensorFlow","Content Creator","Expert","Finance","Translation",2.29,"Tool limitation"
"LangChain","Government Worker","Expert","Tech","Translation",1.9,"Tool limitation"
"Perplexity AI","Senior Developer","Intermediate","Education","Translation",1.37,"Tool limitation"
"Grok","DevOps Engineer","Advanced","Retail","Coding",2.18,"Wrong output"
"Stable Diffusion","Marketer","Expert","Government","Data Analysis",1.44,"Wrong output"
"Boston Dynamics AI","Content Creator","Intermediate","Tech","Data Analysis",1.41,"Tool limitation"
"Synthesia","Lawyer","Advanced","Education","Coding",2.21,"Slow response"
"Kensho","Marketer","Beginner","Transportation","Research",2.34,"Slow response"
"Stable Diffusion","Researcher","Advanced","Manufacturing","Learning",1.14,"Slow response"
"Canva AI","Content Creator","Expert","Education","Design",1.43,"Tool limitation"
"Jasper","Doctor","Intermediate","Energy","Learning",1.57,"Connection issues"
"Devin","Product Manager","Beginner","Retail","Data Analysis",1.25,"Wrong output"
"TensorFlow","Senior Developer","Intermediate","Media","Translation",2.43,"Tool limitation"
"AutoGPT","Designer","Beginner","Healthcare","Customer Support",1.2,"Low accuracy"
"Notion AI","Lawyer","Intermediate","Agriculture","Marketing",1.51,"Wrong output"
"ElevenLabs","Content Creator","Beginner","Education","Automation",1.39,"Tool limitation"
"Mistral","Freelancer","Intermediate","Legal","Data Analysis",1.68,"Low accuracy"
"Falcon","ML Engineer","Beginner","Energy","Research",1.23,"Connection issues"
"Runway ML","Government Worker","Intermediate","Energy","Customer Support",2.04,"Slow response"
"DataRobot","Marketer","Intermediate","Agriculture","Research",2.22,"Wrong output"
"Kensho","Student","Advanced","Energy","Customer Support",1.91,"Wrong output"
"Runway ML","Cybersecurity Analyst","Advanced","Finance","Research",1.71,"Connection issues"
"DALL-E","Researcher","Expert","Legal","Marketing",1.41,"Low accuracy"
"Tesla Optimus","Teacher","Expert","Retail","Video Creation",1.28,"Tool limitation"
"Khanmigo","Lawyer","Advanced","Tech","Customer Support",1.77,"Wrong output"
"BloombergGPT","Junior Dev","Expert","Education","Coding",1.43,"Low accuracy"
"Kensho","Designer","Expert","Legal","Content Writing",1.15,"Connection issues"
"PyTorch","Student","Beginner","Government","Customer Support",2.37,"Low accuracy"
"Cursor AI","Junior Dev","Advanced","Healthcare","Automation",1.28,"Connection issues"
"LangChain","Designer","Intermediate","Manufacturing","Marketing",1.41,"Slow response"
"Canva AI","Lawyer","Expert","Retail","Design",2.39,"Wrong output"
"Whisper","Product Manager","Expert","Tech","Translation",2.24,"Connection issues"
"Mistral","Researcher","Advanced","Healthcare","Coding",1.9,"Connection issues"
"Power BI Copilot","Doctor","Beginner","Retail","Data Analysis",2.19,"Tool limitation"
"Boston Dynamics AI","Freelancer","Expert","Agriculture","Automation",1.89,"Wrong output"
"Canva AI","Non-Tech User","Advanced","Education","Video Creation",1.53,"Wrong output"
"DALL-E","Doctor","Advanced","Agriculture","Customer Support",2.15,"Low accuracy"
"Devin","Teacher","Intermediate","Finance","Translation",1.06,"Wrong output"
"Mistral","ML Engineer","Beginner","Government","Customer Support",2.46,"Connection issues"
"Falcon","Researcher","Beginner","Manufacturing","Translation",1.75,"Wrong output"
"Codeium","Freelancer","Advanced","Manufacturing","Marketing",1.48,"Wrong output"
"LLaMA","Startup Founder","Expert","Energy","Customer Support",1.82,"Connection issues"
"Hugging Face","Lawyer","Intermediate","Education","Coding",1.2,"Low accuracy"
"Midjourney","Startup Founder","Intermediate","Healthcare","Coding",1.59,"Low accuracy"
"GitHub Copilot","Teacher","Intermediate","Agriculture","Design",1.55,"Connection issues"
"GrammarlyGO","Content Creator","Intermediate","Manufacturing","Learning",1.72,"Tool limitation"
"Duolingo Max","ML Engineer","Beginner","Legal","Coding",1.24,"Slow response"
"Claude","Data Analyst","Intermediate","Finance","Content Writing",2.23,"Slow response"
"AlphaFold","Teacher","Expert","Education","Customer Support",1.15,"Connection issues"
"Cursor AI","Junior Dev","Intermediate","Finance","Automation",2.54,"Slow response"
"Mistral","ML Engineer","Expert","Media","Translation",1.2,"Wrong output"
"Tabnine","Junior Dev","Intermediate","Transportation","Research",2.12,"Connection issues"
"GrammarlyGO","Senior Developer","Expert","Government","Translation",2.25,"Low accuracy"
"Canva AI","ML Engineer","Expert","Retail","Marketing",2.43,"Low accuracy"
"Tesla Optimus","Senior Developer","Intermediate","Education","Automation",1.64,"Tool limitation"
"Mistral","DevOps Engineer","Expert","Manufacturing","Coding",2.21,"Low accuracy"
"Falcon","Lawyer","Expert","Energy","Coding",1.22,"Low accuracy"
"GPT-5","Startup Founder","Intermediate","Healthcare","Translation",1.56,"Low accuracy"
"DataRobot","Freelancer","Beginner","Finance","Customer Support",1.96,"Connection issues"
"IBM Watson","Designer","Expert","Government","Content Writing",2.01,"Connection issues"
"Falcon","Junior Dev","Beginner","Agriculture","Customer Support",2.05,"Tool limitation"
"Stable Diffusion","Product Manager","Beginner","Transportation","Automation",2.38,"Slow response"
"GrammarlyGO","Teacher","Beginner","Energy","Learning",1.66,"Slow response"
"Boston Dynamics AI","Researcher","Advanced","Government","Design",1.79,"Tool limitation"
"Khanmigo","Designer","Advanced","Legal","Data Analysis",2.31,"Slow response"
"Khanmigo","Product Manager","Intermediate","Transportation","Video Creation",1.57,"Tool limitation"
"TensorFlow","Cybersecurity Analyst","Expert","Legal","Content Writing",1.8,"Slow response"
"Deepgram","Designer","Expert","Government","Automation",2.3,"Wrong output"
"Gemini","Cybersecurity Analyst","Intermediate","Legal","Design",2.51,"Low accuracy"
"HeyGen","Doctor","Expert","Finance","Learning",1.48,"Low accuracy"
"Qwen","Freelancer","Beginner","Legal","Coding",1.69,"Tool limitation"
"Perplexity AI","Teacher","Beginner","Manufacturing","Learning",1.23,"Wrong output"
"TensorFlow","Government Worker","Advanced","Education","Customer Support",1.78,"Connection issues"
"Stable Diffusion","Doctor","Beginner","Legal","Video Creation",1.34,"Slow response"
"IBM Watson","Non-Tech User","Beginner","Tech","Video Creation",2.14,"Slow response"
"Boston Dynamics AI","Designer","Advanced","Media","Customer Support",2.33,"Wrong output"
"Codeium","Business Owner","Beginner","Tech","Content Writing",2.01,"Low accuracy"
"Figma AI","Researcher","Expert","Tech","Design",1.41,"Tool limitation"
"Power BI Copilot","Government Worker","Beginner","Manufacturing","Content Writing",2.17,"Tool limitation"
"PyTorch","Government Worker","Expert","Agriculture","Data Analysis",2.4,"Slow response"
"LLaMA","Senior Developer","Advanced","Education","Research",2.02,"Tool limitation"
"DeepSeek","Cybersecurity Analyst","Beginner","Tech","Marketing",2.3,"Slow response"
"ElevenLabs","Content Creator","Beginner","Finance","Content Writing",2.3,"Low accuracy"
"DataRobot","Researcher","Expert","Transportation","Automation",2.09,"Wrong output"
"AutoGPT","Researcher","Intermediate","Legal","Data Analysis",1.86,"Connection issues"
"DataRobot","Student","Expert","Manufacturing","Design",1.45,"Wrong output"
"Cohere","Designer","Expert","Government","Automation",1.55,"Tool limitation"
"Whisper","Data Analyst","Intermediate","Energy","Research",1.83,"Tool limitation"
"AlphaFold","Business Owner","Beginner","Government","Data Analysis",1.78,"Low accuracy"
"Jasper","Content Creator","Expert","Government","Translation",1.81,"Slow response"
"Codeium","Junior Dev","Expert","Finance","Data Analysis",1.79,"Low accuracy"
"Runway ML","Lawyer","Advanced","Tech","Research",1.24,"Wrong output"
"Whisper","Startup Founder","Intermediate","Media","Customer Support",1.21,"Tool limitation"
"AutoGPT","Lawyer","Beginner","Retail","Marketing",1.86,"Tool limitation"
"ElevenLabs","Non-Tech User","Intermediate","Media","Translation",2.29,"Connection issues"
"HeyGen","Marketer","Advanced","Manufacturing","Design",2.09,"Wrong output"
"Qwen","Non-Tech User","Expert","Retail","Content Writing",2.57,"Slow response"
"Stable Diffusion","Freelancer","Advanced","Agriculture","Marketing",1.18,"Tool limitation"
"Cohere","ML Engineer","Intermediate","Manufacturing","Learning",1.35,"Tool limitation"
"GitHub Copilot","Non-Tech User","Advanced","Finance","Coding",2.37,"Slow response"
"DeepSeek","Startup Founder","Intermediate","Transportation","Automation",2.5,"Tool limitation"
"GitHub Copilot","Business Owner","Intermediate","Agriculture","Customer Support",2.48,"Slow response"
"GrammarlyGO","Senior Developer","Expert","Finance","Customer Support",1.07,"Slow response"
"Codeium","Freelancer","Expert","Healthcare","Marketing",1.24,"Slow response"
"Tesla Optimus","Product Manager","Advanced","Energy","Marketing",1.45,"Low accuracy"
"AlphaFold","Junior Dev","Intermediate","Manufacturing","Video Creation",1.1,"Connection issues"
"DeepSeek","Junior Dev","Expert","Healthcare","Content Writing",2.54,"Wrong output"
"HeyGen","Lawyer","Expert","Transportation","Content Writing",1.16,"Low accuracy"
"Kensho","Teacher","Beginner","Finance","Video Creation",1.6,"Slow response"
"ElevenLabs","Designer","Advanced","Tech","Customer Support",2.03,"Wrong output"
"Runway ML","Doctor","Advanced","Finance","Video Creation",1.7,"Connection issues"
"Kensho","Freelancer","Advanced","Manufacturing","Content Writing",1.32,"Slow response"
"Devin","Cybersecurity Analyst","Expert","Healthcare","Translation",2.16,"Slow response"
"GrammarlyGO","Doctor","Advanced","Retail","Design",2.56,"Slow response"
"Runway ML","Student","Advanced","Tech","Data Analysis",1.72,"Wrong output"
"AutoGPT","Senior Developer","Intermediate","Energy","Data Analysis",1.19,"Wrong output"
"Deepgram","Senior Developer","Beginner","Legal","Marketing",2.06,"Wrong output"
"Gemini","Student","Expert","Energy","Learning",1.52,"Connection issues"
"Khanmigo","Data Analyst","Expert","Media","Content Writing",1.96,"Tool limitation"
"IBM Watson","Business Owner","Beginner","Legal","Research",1.63,"Tool limitation"
"Gemini","Doctor","Beginner","Manufacturing","Automation",1.12,"Wrong output"
"IBM Watson","Marketer","Expert","Finance","Customer Support",1.01,"Slow response"
"Whisper","Senior Developer","Intermediate","Media","Video Creation",2.11,"Slow response"
"HeyGen","Startup Founder","Advanced","Energy","Data Analysis",1.82,"Connection issues"
"Duolingo Max","Product Manager","Intermediate","Agriculture","Coding",1.63,"Wrong output"
"Tesla Optimus","Cybersecurity Analyst","Intermediate","Legal","Data Analysis",1.68,"Slow response"
"DeepSeek","Content Creator","Intermediate","Education","Customer Support",1.79,"Slow response"
"Qwen","Non-Tech User","Intermediate","Tech","Automation",2.18,"Slow response"
"IBM Watson","DevOps Engineer","Intermediate","Energy","Automation",1.88,"Connection issues"
"Falcon","Government Worker","Expert","Healthcare","Translation",2.1,"Wrong output"
"Gemini","Teacher","Advanced","Healthcare","Content Writing",1.26,"Tool limitation"
"IBM Watson","Product Manager","Beginner","Transportation","Customer Support",2.5,"Wrong output"
"Gemini","Student","Intermediate","Manufacturing","Video Creation",1.05,"Tool limitation"
"Microsoft Copilot","Doctor","Intermediate","Legal","Customer Support",1.21,"Wrong output"
"Gemini","Non-Tech User","Beginner","Transportation","Coding",1.62,"Low accuracy"
"Deepgram","Content Creator","Beginner","Tech","Design",1.11,"Low accuracy"
"DALL-E","Researcher","Expert","Healthcare","Content Writing",1.17,"Slow response"
"PyTorch","Freelancer","Advanced","Retail","Data Analysis",2.22,"Wrong output"
"Codeium","Junior Dev","Expert","Legal","Data Analysis",2.04,"Low accuracy"
"Jasper","DevOps Engineer","Intermediate","Legal","Design",1.81,"Low accuracy"
"GitHub Copilot","Marketer","Advanced","Education","Marketing",2.47,"Connection issues"
"Mistral","Business Owner","Advanced","Media","Learning",1.54,"Wrong output"
"Tableau AI","DevOps Engineer","Intermediate","Agriculture","Content Writing",2.45,"Connection issues"
"Claude","Teacher","Expert","Media","Research",1.67,"Tool limitation"
"Runway ML","Data Analyst","Intermediate","Government","Video Creation",1.49,"Wrong output"
"Stable Diffusion","Teacher","Beginner","Manufacturing","Learning",1.33,"Connection issues"
"GrammarlyGO","Junior Dev","Beginner","Transportation","Video Creation",2.22,"Wrong output"
"LangChain","Doctor","Intermediate","Government","Customer Support",2.12,"Connection issues"
"GrammarlyGO","Data Analyst","Beginner","Energy","Coding",1.97,"Wrong output"
"Claude","Teacher","Intermediate","Agriculture","Customer Support",1.69,"Low accuracy"
"Cursor AI","Student","Advanced","Retail","Learning",1.13,"Low accuracy"
"Kensho","Designer","Expert","Tech","Customer Support",1.42,"Connection issues"
"Kensho","Product Manager","Expert","Media","Translation",1.17,"Low accuracy"
"Jasper","Content Creator","Advanced","Retail","Video Creation",2.42,"Slow response"
"DataRobot","Doctor","Expert","Transportation","Marketing",1.09,"Wrong output"
"Duolingo Max","Researcher","Intermediate","Government","Coding",2.31,"Wrong output"
"BloombergGPT","Product Manager","Expert","Manufacturing","Content Writing",1.56,"Connection issues"
"Canva AI","Business Owner","Beginner","Finance","Data Analysis",1.5,"Slow response"
"Tabnine","Product Manager","Beginner","Healthcare","Marketing",1.38,"Slow response"
"Kensho","Business Owner","Intermediate","Energy","Research",1.29,"Tool limitation"
"LLaMA","DevOps Engineer","Expert","Education","Coding",1.63,"Tool limitation"
"Elicit","Startup Founder","Beginner","Finance","Video Creation",1.76,"Tool limitation"
"Canva AI","DevOps Engineer","Beginner","Finance","Research",2.16,"Slow response"
"LangChain","Content Creator","Advanced","Energy","Research",1.55,"Tool limitation"
"Falcon","Business Owner","Beginner","Healthcare","Customer Support",1.16,"Low accuracy"
"IBM Watson","Marketer","Expert","Healthcare","Automation",1.86,"Connection issues"
"Midjourney","Content Creator","Beginner","Healthcare","Marketing",2.41,"Tool limitation"
"Copy.ai","Cybersecurity Analyst","Advanced","Media","Learning",2.33,"Connection issues"
"Perplexity AI","Data Analyst","Intermediate","Media","Video Creation",2.34,"Wrong output"
"LangChain","Business Owner","Intermediate","Transportation","Customer Support",1.04,"Wrong output"
"Notion AI","Content Creator","Beginner","Energy","Design",2.08,"Low accuracy"
"Hugging Face","Doctor","Expert","Finance","Customer Support",1.25,"Connection issues"
"Figma AI","Non-Tech User","Intermediate","Energy","Customer Support",1.86,"Tool limitation"
"Tableau AI","Non-Tech User","Advanced","Agriculture","Coding",1.76,"Low accuracy"
"IBM Watson","Teacher","Intermediate","Transportation","Coding",1.67,"Slow response"
"Qwen","Business Owner","Expert","Legal","Design",2.25,"Connection issues"
"Synthesia","Designer","Advanced","Transportation","Customer Support",1.75,"Low accuracy"
"Synthesia","Senior Developer","Advanced","Agriculture","Video Creation",2.48,"Slow response"
"Tabnine","Designer","Advanced","Tech","Translation",1.04,"Connection issues"
"Midjourney","DevOps Engineer","Beginner","Media","Research",1.97,"Wrong output"
"Microsoft Copilot","Non-Tech User","Expert","Healthcare","Content Writing",2.48,"Slow response"
"Deepgram","Data Analyst","Intermediate","Transportation","Coding",1.05,"Low accuracy"
"HeyGen","DevOps Engineer","Intermediate","Media","Customer Support",2.01,"Connection issues"
"Perplexity AI","Content Creator","Beginner","Healthcare","Data Analysis",2.45,"Low accuracy"
"GPT-4","Freelancer","Expert","Media","Translation",1.67,"Tool limitation"
"GPT-4","Startup Founder","Expert","Retail","Learning",1.65,"Low accuracy"
"Tesla Optimus","Government Worker","Expert","Legal","Content Writing",1.55,"Tool limitation"
"Cursor AI","Business Owner","Advanced","Tech","Video Creation",2.36,"Wrong output"
"DALL-E","Product Manager","Expert","Tech","Translation",1.26,"Wrong output"
"Figma AI","Teacher","Beginner","Transportation","Design",1.37,"Low accuracy"
"Canva AI","Marketer","Intermediate","Finance","Coding",1.67,"Low accuracy"
"ElevenLabs","Senior Developer","Beginner","Manufacturing","Marketing",1.59,"Tool limitation"
"Codeium","Teacher","Intermediate","Healthcare","Customer Support",1.85,"Tool limitation"
"HeyGen","ML Engineer","Advanced","Government","Content Writing",2.03,"Connection issues"
"Claude","Designer","Advanced","Retail","Content Writing",1.12,"Connection issues"
"LangChain","Teacher","Advanced","Government","Coding",1.65,"Low accuracy"
"Whisper","Marketer","Intermediate","Legal","Design",1.97,"Tool limitation"
"GitHub Copilot","Researcher","Expert","Education","Design",1.87,"Wrong output"
"Deepgram","ML Engineer","Expert","Legal","Translation",1.01,"Wrong output"
"Tableau AI","Designer","Beginner","Retail","Design",1.2,"Tool limitation"
"AutoGPT","Government Worker","Expert","Manufacturing","Video Creation",1.48,"Connection issues"
"Midjourney","Senior Developer","Intermediate","Government","Data Analysis",2.26,"Low accuracy"
"Copy.ai","Non-Tech User","Expert","Manufacturing","Marketing",1.31,"Wrong output"
"TensorFlow","Non-Tech User","Expert","Transportation","Automation",1.22,"Wrong output"
"Power BI Copilot","Researcher","Beginner","Education","Video Creation",1.69,"Connection issues"
"Deepgram","ML Engineer","Intermediate","Legal","Learning",2.04,"Low accuracy"
"Cursor AI","Freelancer","Intermediate","Transportation","Marketing",2.17,"Wrong output"
"Figma AI","Marketer","Intermediate","Tech","Automation",2.45,"Low accuracy"
"GPT-4","Lawyer","Expert","Manufacturing","Video Creation",2.35,"Wrong output"
"Stable Diffusion","Junior Dev","Beginner","Government","Research",1.18,"Slow response"
"GPT-5","Cybersecurity Analyst","Beginner","Agriculture","Content Writing",2.41,"Low accuracy"
"Power BI Copilot","Junior Dev","Advanced","Transportation","Customer Support",1.09,"Tool limitation"
"Synthesia","ML Engineer","Expert","Legal","Translation",1.71,"Low accuracy"
"Codeium","Cybersecurity Analyst","Beginner","Education","Marketing",2.25,"Low accuracy"
"IBM Watson","Business Owner","Beginner","Finance","Marketing",1.93,"Slow response"
